bins,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8,sample9,sample10
5,-0,0.148809523809524,0.150602409638554,-0,-0,0.15527950310559,-0,-0,-0,-0
10,-0,0.446428571428572,-0,0.148148148148148,0.451127819548872,0.31055900621118,0.150829562594268,0.47244094488189,-0,-0
15,0.458715596330275,1.33928571428571,0.903614457831326,1.48148148148148,1.50375939849624,1.5527950310559,1.35746606334842,0.62992125984252,1.86335403726708,0.322061191626409
20,3.05810397553517,3.125,3.31325301204819,2.66666666666667,3.15789473684211,3.41614906832298,4.22322775263952,3.1496062992126,3.26086956521739,3.3816425120773
25,8.40978593272171,8.48214285714286,7.07831325301205,10.0740740740741,8.27067669172933,5.74534161490683,6.63650075414781,6.61417322834646,6.05590062111801,7.24637681159421
30,12.5382262996942,11.6071428571429,12.3493975903615,11.7037037037037,12.3308270676692,9.31677018633541,13.4238310708899,11.6535433070866,13.3540372670807,12.56038647343
35,14.525993883792,16.5178571428571,18.5240963855422,14.6666666666667,16.0902255639098,18.6335403726708,13.7254901960784,18.8976377952756,16.304347826087,14.6537842190016
40,15.5963302752294,14.5833333333333,13.1024096385542,14.6666666666667,17.1428571428572,15.3726708074534,16.289592760181,13.3858267716535,13.9751552795031,14.170692431562
45,12.2324159021407,13.6904761904762,12.6506024096386,13.7777777777778,11.8796992481203,12.888198757764,11.7647058823529,13.8582677165354,13.5093167701863,14.170692431562
50,11.4678899082569,10.8630952380952,10.2409638554217,8.88888888888889,9.02255639097745,12.2670807453416,11.1613876319759,9.29133858267717,9.62732919254658,9.98389694041868
55,7.79816513761468,6.39880952380952,6.02409638554217,8.2962962962963,6.16541353383459,6.83229813664597,6.33484162895928,7.24409448818898,7.60869565217391,8.37359098228664
60,4.43425076452599,4.61309523809524,6.32530120481928,4.88888888888889,6.46616541353384,4.34782608695652,6.18401206636501,5.35433070866142,5.74534161490683,6.9243156199678
65,4.74006116207951,4.01785714285714,4.81927710843374,2.96296296296296,2.85714285714286,3.88198757763975,2.71493212669683,3.77952755905512,3.57142857142857,3.5426731078905
70,1.98776758409786,1.93452380952381,2.10843373493976,2.51851851851852,1.95488721804511,2.32919254658385,2.71493212669683,2.36220472440945,2.17391304347826,2.25442834138486
75,0.764525993883792,1.19047619047619,1.35542168674699,2.07407407407407,1.50375939849624,0.931677018633541,1.20663650075415,1.5748031496063,1.5527950310559,1.12721417069243
80,1.37614678899083,0.446428571428572,1.05421686746988,0.740740740740741,0.601503759398497,1.24223602484472,1.20663650075415,1.41732283464567,0.93167701863354,0.805152979066023
85,0.611620795107034,0.297619047619048,-0,0.444444444444444,0.300751879699248,0.15527950310559,0.754147812971342,0.31496062992126,0.31055900621118,0.161030595813205
90,-0,0.148809523809524,-0,-0,-0,0.31055900621118,-0,-0,-0,0.161030595813205
95,-0,-0,-0,-0,0.150375939849624,0.15527950310559,0.150829562594268,-0,-0,0.161030595813205
100,-0,-0,-0,-0,0.150375939849624,0.15527950310559,-0,-0,0.15527950310559,-0
105,-0,0.148809523809524,-0,-0,-0,-0,-0,-0,-0,-0
110,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
115,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
120,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
125,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
130,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
135,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
140,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
145,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
150,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
155,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
160,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
165,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
170,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
175,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
180,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
